SL.No,VILLAGE,NEAR BY LOCATION/LAND MARK,DISTRICT,MANDAL,PANCHAYATI,"GVMC ZONE,NO& NAME",GVMC WARD NO & NAME,VMRDA ZONE No.& Name,Registers office Location,GVMC/ VMRDA,ADD NEAR BY Location
,Bandhevapuram,Bandhevapuram,VISAKHAPATNAM,Padmanabham,Bandhevapuram,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Bandhevapuram
,Buddivalasa,Buddivalasa,VISAKHAPATNAM,Padmanabham,Buddivalasa,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Buddivalasa
,Penta,Penta,VISAKHAPATNAM,Padmanabham,Penta,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Penta
,Chinnapuram,Chinnapuram,VISAKHAPATNAM,Padmanabham,Chinnapuram,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Chinnapuram
,Thimmapuram,Thimmapuram,VISAKHAPATNAM,Padmanabham,Thimmapuram,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Thimmapuram
,Ananthavaram,Ananthavaram,VISAKHAPATNAM,Padmanabham,Ananthavaram,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Ananthavaram
,Tunivalasa,Tunivalasa,VISAKHAPATNAM,Padmanabham,Tunivalasa,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Tunivalasa
,Nerellavalasa,Nerellavalasa,VISAKHAPATNAM,Padmanabham,Nerellavalasa,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Nerellavalasa
,Padmanabham,Padmanabham,VISAKHAPATNAM,Padmanabham,Padmanabham,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Padmanabham
,Pandrangi,Pandrangi,VISAKHAPATNAM,Padmanabham,Pandrangi,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Pandrangi
,Venkatapuram,Venkatapuram,VISAKHAPATNAM,Padmanabham,Venkatapuram,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Venkatapuram
,Potnuru,Potnuru,VISAKHAPATNAM,Padmanabham,Potnuru,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Potnuru
,B R thallavalasa,B R thallavalasa,VISAKHAPATNAM,Padmanabham,B R thallavalasa,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,B R thallavalasa
,Janaki Devi Puram,Janaki Devi Puram,VISAKHAPATNAM,Padmanabham,Janaki Devi Puram,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Janaki Devi Puram
,Krishanapuram,Krishanapuram,VISAKHAPATNAM,Padmanabham,Krishanapuram,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Krishanapuram
,Buddivalasa Agraharam,Buddivalasa Agraharam,VISAKHAPATNAM,Padmanabham,Buddivalasa Agraharam,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Buddivalasa Agraharam
,Vijayarampuram,Vijayarampuram,VISAKHAPATNAM,Padmanabham,Vijayarampuram,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Vijayarampuram
,Maddi,Maddi,VISAKHAPATNAM,Padmanabham,Maddi,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Maddi
,Reddi palli Agraharam,Reddi palli Agraharam,VISAKHAPATNAM,Padmanabham,Reddi palli Agraharam,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Reddi palli Agraharam
,Revidi,Revidi,VISAKHAPATNAM,Padmanabham,Revidi,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Revidi
,Kovvada,Kovvada,VISAKHAPATNAM,Padmanabham,Kovvada,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Kovvada
,Korada,Korada,VISAKHAPATNAM,Padmanabham,Korada,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Korada
,Gandhavaram,Gandhavaram,VISAKHAPATNAM,Padmanabham,Gandhavaram,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Gandhavaram
